date	Physical	Chemical	Biological	Other
1976	1	2	0	0
1977	0	0	0	0
1978	1	0	0	0
1979	0	0	0	0
1980	1	1	0	0
1981	0	0	0	0
1982	3	0	0	0
1983	2	0	0	0
1984	0	1	0	0
1985	1	5	0	0
1986	5	4	0	0
1987	1	0	0	0
1988	0	3	1	0
1989	0	1	0	0
1990	1	2	0	0
1991	1	5	1	0
1992	0	6	0	0
1993	0	4	2	0
1994	0	2	1	0
1995	1	3	1	0
1996	0	4	0	0
1997	0	1	0	0
1998	0	3	0	0
1999	0	6	0	0
2000	0	6	0	0
2001	1	4	0	0
2002	1	10	0	0
2003	0	11	0	0
2004	2	4	1	1
2005	0	1	1	0
2006	0	6	1	0
2007	0	10	0	0
2008	0	6	0	0
2009	0	4	3	0
2010	0	6	3	0
2011	4	1	2	0
2012	1	3	2	1
2013	3	4	5	1
2014	0	9	1	0
2015	3	4	1	0
2016	0	0	1	0
